image_name,tag
train_367,10
train_368,5
train_369,0
train_370,0
train_371,5
train_372,5
train_373,5
train_374,0
train_375,5
train_376,5
train_377,11
train_378,5
train_379,0
train_380,5
train_381,0
train_382,5
train_383,5
train_384,11
train_385,0
train_386,5
train_387,5
train_388,0
train_389,0
train_390,0
train_391,0
train_392,0
train_393,0
train_394,3
train_395,11
train_396,6
train_397,5
train_398,5
train_399,5
train_400,0
train_401,5
train_402,11
train_403,0
train_404,5
train_405,0
train_406,0
train_407,5
train_408,3
train_409,11
train_410,5
train_411,0
train_412,5
train_413,6
train_414,10
train_415,5
train_416,5
train_417,10
train_418,2
train_419,0
train_420,2
train_421,0
train_422,5
train_423,5
train_424,5
train_425,5
train_426,10
train_427,5
train_428,5
train_429,5
train_430,0
train_431,5
train_432,10
train_433,5
train_434,0
train_435,2
train_436,5
train_437,6
train_438,5
train_439,5
train_440,11
train_441,0
train_442,0
train_443,5
train_444,5
train_445,8
train_446,5
train_447,5
train_448,0
train_449,5
train_450,5
train_451,2
train_452,11
train_453,6
train_454,10
train_455,5
train_456,0
train_457,5
train_458,10
train_459,5
train_460,10
train_461,0
train_462,5
train_463,5
train_464,0
train_465,5
train_466,5
train_467,0
train_468,5
train_469,5
train_470,5
train_471,0
train_472,5
train_473,5
train_474,0
train_475,5
train_476,6
train_477,0
train_478,5
train_479,5
train_480,5
train_481,11
train_482,11
train_483,5
train_484,5
train_485,5
train_486,2
train_487,5
train_488,5
train_489,5
train_490,5
train_491,5
train_492,11
train_493,5
train_494,5
train_495,5
train_496,5
train_497,5
train_498,0
train_499,2
train_500,11
train_501,5
train_502,5
train_503,5
train_504,10
train_505,11
train_506,11
train_507,0
train_508,5
train_509,5
train_510,11
train_511,5
train_512,0
train_513,5
train_514,5
train_515,5
train_516,0
train_517,11
train_518,0
train_519,3
train_520,0
train_521,2
train_522,0
train_523,0
train_524,0
train_525,0
train_526,11
train_527,0
train_528,5
train_529,3
train_530,5
train_531,5
train_532,0
train_533,5
train_534,6
train_535,4
train_536,5
train_537,3
train_538,5
train_539,0
train_540,0
train_541,0
train_542,11
train_543,5
train_544,5
train_545,5
train_546,0
train_547,5
train_548,5
train_549,5
train_550,11
train_551,11
train_552,0
train_553,0
train_554,10
train_555,5
train_556,5
train_557,0
train_558,5
train_559,0
train_560,5
train_561,5
train_562,0
train_563,11
train_564,5
train_565,0
train_566,3
train_567,0
train_568,0
train_569,6
train_570,2
train_571,11
train_572,0
train_573,5
train_574,0
train_575,5
train_576,11
train_577,0
train_578,5
train_579,11
train_580,5
train_581,10
train_582,6
train_583,5
train_584,0
train_585,0
train_586,5
train_587,5
train_588,5
train_589,0
train_590,0
train_591,5
train_592,5
train_593,5
train_594,5
train_595,5
train_596,11
train_597,0
train_598,11
train_599,0
train_600,5
train_601,6
train_602,5
train_603,5
train_604,0
train_605,5
train_606,5
train_607,0
train_608,0
train_609,2
train_610,0
train_611,5
train_612,5
train_613,0
train_614,11
train_615,5
train_616,5
train_617,5
train_618,5
train_619,0
train_620,11
train_621,5
train_622,5
train_623,0
train_624,5
train_625,10
train_626,5
train_627,5
train_628,5
train_629,5
train_630,5
train_631,0
train_632,0
train_633,0
train_634,0
train_635,5
train_636,5
train_637,5
train_638,5
train_639,5
train_640,5
train_641,5
train_642,5
train_643,5
train_644,5
train_645,5
train_646,6
train_647,11
train_648,11
train_649,0
train_650,6
train_651,0
train_652,5
train_653,0
train_654,10
train_655,5
train_656,0
train_657,0
train_658,5
train_659,3
train_660,5
train_661,0
train_662,5
train_663,5
train_664,5
train_665,0
train_666,0
train_667,5
train_668,5
train_669,0
train_670,0
train_671,5
train_672,0
train_673,5
train_674,11
train_675,0
train_676,5
train_677,0
train_678,0
train_679,5
train_680,0
train_681,5
train_682,5
train_683,0
train_684,11
train_685,5
train_686,5
train_687,5
train_688,0
train_689,5
train_690,0
train_691,5
train_692,11
train_693,0
train_694,5
train_695,5
train_696,0
train_697,5
train_698,2
train_699,0
train_700,5
train_701,0
train_702,0
train_703,4
train_704,10
train_705,5
train_706,11
train_707,11
train_708,5
train_709,5
train_710,5
train_711,8
train_712,3
train_713,5
train_714,5
train_715,0
train_716,0
train_717,6
train_718,2
train_719,5
train_720,0
train_721,0
train_722,0
train_723,5
train_724,5
train_725,0
train_726,0
train_727,5
train_728,0
train_729,5
train_730,5
train_731,5
train_732,5
train_733,0
train_734,5
train_735,5
train_736,0
train_737,5
train_738,0
train_739,0
train_740,10
train_741,5
train_742,5
train_743,6
train_744,0
train_745,11
train_746,5
train_747,5
train_748,5
train_749,0
train_750,0
train_751,0
train_752,11
train_753,0
train_754,5
train_755,5
train_756,0
train_757,11
train_758,6
train_759,11
train_760,5
train_761,5
train_762,0
train_763,0
train_764,5
train_765,9
train_766,0
train_767,0
train_768,5
train_769,0
train_770,0
train_771,5
train_772,5
train_773,5
train_774,11
train_775,10
train_776,5
train_777,5
train_778,5
train_779,5
train_780,0
train_781,11
train_782,6
train_783,5
train_784,5
train_785,0
train_786,0
train_787,5
train_788,5
train_789,5
train_790,6
train_791,5
train_792,5
train_793,0
train_794,9
train_795,2
train_796,11
train_797,11
train_798,11
train_799,6
train_800,0
train_801,5
train_802,0
train_803,5
train_804,0
train_805,5
train_806,5
train_807,10
train_808,5
train_809,0
train_810,5
train_811,0
train_812,5
train_813,0
train_814,0
train_815,11
train_816,0
train_817,6
train_818,5
train_819,11
train_820,0
train_821,5
train_822,5
train_823,6
train_824,5
train_825,2
train_826,0
train_827,6
train_828,5
train_829,0
train_830,0
train_831,0
train_832,5
train_833,5
train_834,11
train_835,5
train_836,5
train_837,5
train_838,5
train_839,5
train_840,11
train_841,0
train_842,11
train_843,0
train_844,11
train_845,5
train_846,11
train_847,5
train_848,5
train_849,9
train_850,5
train_851,0
train_852,5
train_853,5
train_854,5
train_855,5
train_856,0
train_857,0
train_858,0
train_859,0
train_860,6
train_861,5
train_862,5
train_863,5
train_864,5
train_865,5
train_866,0
train_867,0
train_868,5
train_869,5
train_870,11
train_871,5
train_872,0
train_873,11
train_874,11
train_875,0
train_876,0
train_877,5
train_878,5
train_879,0
train_880,5
train_881,11
train_882,0
train_883,0
train_884,11
train_885,8
train_886,5
train_887,11
train_888,6
train_889,5
train_890,0
train_891,5
train_892,5
train_893,6
train_894,0
train_895,0
train_896,0
train_897,3
train_898,5
train_899,5
train_900,11
train_901,0
train_902,6
train_903,5
train_904,11
train_905,5
train_906,5
train_907,5
train_908,5
train_909,0
train_910,5
train_911,5
train_912,11
train_913,5
train_914,5
train_915,5
train_916,0
train_917,5
train_918,5
train_919,5
train_920,10
train_921,0
train_922,5
train_923,11
train_924,4
train_925,0
train_926,5
train_927,5
train_928,11
train_929,5
train_930,5
train_931,0
train_932,0
train_933,5
train_934,5
train_935,11
train_936,5
train_937,5
train_938,6
train_939,5
train_940,0
train_941,5
train_942,11
train_943,5
train_944,5
train_945,5
train_946,5
train_947,5
train_948,0
train_949,0
train_950,5
train_951,8
train_952,11
train_953,0
train_954,11
train_955,5
train_956,5
train_957,5
train_958,0
train_959,0
train_960,0
train_961,11
train_962,5
train_963,10
train_964,5
train_965,10
train_966,0
train_967,5
train_968,10
train_969,11
train_970,6
train_971,5
train_972,11
train_973,0
train_974,2
train_975,11
train_976,5
train_977,0
train_978,5
train_979,5
train_980,5
train_981,5
train_982,0
train_983,5
train_984,6
train_985,5
train_986,0
train_987,0
train_988,0
train_989,10
train_990,5
train_991,0
train_992,0
train_993,5
train_994,1
train_995,5
train_996,11
train_997,1
train_998,0
train_999,5
train_1000,11
train_1001,5
train_1002,5
train_1003,5
train_1004,5
train_1005,5
train_1006,5
train_1007,5
train_1008,5
train_1009,0
train_1010,5
train_1011,5
train_1012,5
train_1013,11
train_1014,0
train_1015,5
train_1016,5
train_1017,5
train_1018,5
train_1019,0
train_1020,5
train_1021,5
train_1022,10
train_1023,0
train_1024,5
train_1025,0
train_1026,5
train_1027,5
train_1028,11
train_1029,5
train_1030,11
train_1031,0
train_1032,0
train_1033,5
train_1034,0
train_1035,5
train_1036,11
train_1037,5
train_1038,0
train_1039,5
train_1040,5
train_1041,0
train_1042,5
train_1043,0
train_1044,5
train_1045,0
train_1046,0
train_1047,0
train_1048,11
train_1049,5
train_1050,0
train_1051,5
train_1052,5
train_1053,10
train_1054,0
train_1055,5
train_1056,5
train_1057,11
train_1058,11
train_1059,11
train_1060,6
train_1061,0
train_1062,5
train_1063,0
train_1064,2
train_1065,11
train_1066,0
train_1067,11
train_1068,5
train_1069,5
train_1070,6
train_1071,5
train_1072,11
train_1073,0
train_1074,5
train_1075,11
train_1076,0
train_1077,9
train_1078,11
train_1079,5
train_1080,5
train_1081,11
train_1082,5
train_1083,5
train_1084,5
train_1085,5
train_1086,6
train_1087,0
train_1088,5
train_1089,5
train_1090,0
train_1091,0
train_1092,6
train_1093,0
train_1094,0
train_1095,0
train_1096,5
train_1097,5
train_1098,0
train_1099,5
train_1100,5
train_1101,5
train_1102,0
train_1103,11
train_1104,8
train_1105,11
train_1106,0
train_1107,5
train_1108,0
train_1109,5
train_1110,11
train_1111,5
train_1112,0
train_1113,10
train_1114,5
train_1115,1
train_1116,0
train_1117,0
train_1118,5
train_1119,0
train_1120,5
train_1121,10
train_1122,0
train_1123,5
train_1124,5
train_1125,11
train_1126,6
train_1127,5
train_1128,0
train_1129,0
train_1130,0
train_1131,11
train_1132,5
train_1133,5
train_1134,0
train_1135,5
train_1136,5
train_1137,5
train_1138,0
train_1139,0
train_1140,6
train_1141,5
train_1142,0
train_1143,5
train_1144,0
train_1145,5
train_1146,5
train_1147,10
train_1148,5
train_1149,10
train_1150,5
train_1151,0
train_1152,5
train_1153,10
train_1154,0
train_1155,5
train_1156,0
train_1157,5
train_1158,5
train_1159,0
train_1160,5
train_1161,10
train_1162,11
train_1163,5
train_1164,5
train_1165,5
train_1166,5
train_1167,0
train_1168,5
train_1169,5
train_1170,5
train_1171,5
train_1172,5
train_1173,0
train_1174,5
train_1175,11
train_1176,0
train_1177,11
train_1178,0
train_1179,11
train_1180,5
train_1181,5
train_1182,5
train_1183,11
train_1184,0
train_1185,5
train_1186,11
train_1187,5
train_1188,0
train_1189,5
train_1190,5
train_1191,0
train_1192,5
train_1193,5
train_1194,6
train_1195,0
train_1196,5
train_1197,0
train_1198,5
train_1199,0
train_1200,5
train_1201,2
train_1202,11
train_1203,5
train_1204,2
train_1205,5
train_1206,5
train_1207,0
train_1208,5
train_1209,5
train_1210,11
train_1211,2
train_1212,5
train_1213,5
train_1214,5
train_1215,5
train_1216,5
train_1217,0
train_1218,5
train_1219,11
train_1220,0
train_1221,5
train_1222,5
train_1223,2
train_1224,5
train_1225,11
train_1226,11
train_1227,5
train_1228,0
train_1229,0
train_1230,0
train_1231,5
train_1232,10
train_1233,0
train_1234,0
train_1235,0
train_1236,10
train_1237,0
train_1238,0
train_1239,0
train_1240,11
train_1241,0
train_1242,5
train_1243,5
train_1244,5
train_1245,5
train_1246,5
train_1247,11
train_1248,5
train_1249,0
train_1250,11
train_1251,5
train_1252,0
train_1253,0
train_1254,0
train_1255,5
train_1256,6
train_1257,5
train_1258,5
train_1259,5
train_1260,5
train_1261,0
train_1262,0
train_1263,5
train_1264,11
train_1265,6
train_1266,0
train_1267,5
train_1268,10
train_1269,5
train_1270,5
train_1271,0
train_1272,0
train_1273,0
train_1274,5
train_1275,5
train_1276,5
train_1277,0
train_1278,0
train_1279,0
train_1280,0
train_1281,5
train_1282,5
train_1283,6
train_1284,11
train_1285,5
train_1286,5
train_1287,0
train_1288,5
train_1289,5
train_1290,5
train_1291,11
train_1292,5
train_1293,5
train_1294,0
train_1295,0
train_1296,5
train_1297,6
train_1298,0
train_1299,5
train_1300,11
train_1301,0
train_1302,0
train_1303,5
train_1304,6
train_1305,0
train_1306,0
train_1307,5
train_1308,5
train_1309,0
train_1310,5
train_1311,0
train_1312,11
train_1313,10
train_1314,5
train_1315,10
train_1316,3
train_1317,0
train_1318,11
train_1319,0
train_1320,0
train_1321,10
train_1322,5
train_1323,0
train_1324,5
train_1325,0
train_1326,5
train_1327,0
train_1328,0
train_1329,5
train_1330,5
train_1331,0
train_1332,0
train_1333,0
train_1334,2
train_1335,11
train_1336,6
train_1337,5
train_1338,5
train_1339,6
train_1340,0
train_1341,0
train_1342,5
train_1343,5
train_1344,11
train_1345,5
train_1346,0
train_1347,0
train_1348,0
train_1349,5
train_1350,11
train_1351,5
train_1352,5
train_1353,5
train_1354,5
train_1355,5
train_1356,11
train_1357,11
train_1358,5
train_1359,0
train_1360,6
train_1361,0
train_1362,5
train_1363,10
train_1364,0
train_1365,0
train_1366,0
train_1367,5
train_1368,11
train_1369,5
train_1370,11
train_1371,5
train_1372,5
train_1373,0
train_1374,6
train_1375,5
train_1376,0
train_1377,5
train_1378,6
train_1379,0
train_1380,5
train_1381,5
train_1382,11
train_1383,5
train_1384,0
train_1385,5
train_1386,5
train_1387,5
train_1388,0
train_1389,10
train_1390,0
train_1391,6
train_1392,5
train_1393,0
train_1394,5
train_1395,5
train_1396,10
train_1397,5
train_1398,0
train_1399,5
train_1400,5
train_1401,0
train_1402,5
train_1403,0
train_1404,11
train_1405,5
train_1406,5
train_1407,0
train_1408,2
train_1409,3
train_1410,10
train_1411,2
train_1412,5
train_1413,5
train_1414,5
train_1415,11
train_1416,5
train_1417,5
train_1418,0
train_1419,5
train_1420,0
train_1421,2
train_1422,5
train_1423,0
train_1424,5
train_1425,5
train_1426,5
train_1427,5
train_1428,5
train_1429,5
train_1430,0
train_1431,0
train_1432,5
train_1433,5
train_1434,5
train_1435,5
train_1436,1
train_1437,5
train_1438,5
train_1439,0
train_1440,11
train_1441,0
train_1442,11
train_1443,5
train_1444,0
train_1445,0
train_1446,0
train_1447,5
train_1448,5
train_1449,5
train_1450,6
train_1451,5
train_1452,5
train_1453,0
train_1454,10
train_1455,0
train_1456,0
train_1457,5
train_1458,5
train_1459,5
train_1460,5
train_1461,5
train_1462,5
train_1463,5
train_1464,5
train_1465,0
train_1466,5
train_1467,5
train_1468,11
train_1469,11
train_1470,5
train_1471,10
train_1472,5
train_1473,0
train_1474,0
train_1475,11
train_1476,0
train_1477,11
train_1478,5
train_1479,6
train_1480,5
train_1481,0
train_1482,0
train_1483,6
train_1484,5
train_1485,0
train_1486,6
train_1487,5
train_1488,5
train_1489,0
train_1490,6
train_1491,5
train_1492,6
train_1493,5
train_1494,11
train_1495,5
train_1496,10
train_1497,0
train_1498,5
train_1499,0
train_1500,6
train_1501,0
train_1502,5
train_1503,5
train_1504,5
train_1505,5
train_1506,5
train_1507,0
train_1508,5
train_1509,0
train_1510,11
train_1511,5
train_1512,11
train_1513,5
train_1514,5
train_1515,5
train_1516,0
train_1517,8
train_1518,5
train_1519,5
train_1520,6
train_1521,5
train_1522,5
train_1523,11
train_1524,5
train_1525,0
train_1526,11
train_1527,0
train_1528,5
train_1529,5
train_1530,5
train_1531,5
train_1532,5
train_1533,1
train_1534,0
train_1535,5
train_1536,5
train_1537,0
train_1538,6
train_1539,5
train_1540,0
train_1541,5
train_1542,5
train_1543,0
train_1544,5
train_1545,0
train_1546,0
train_1547,5
train_1548,5
train_1549,11
train_1550,6
train_1551,6
train_1552,0
train_1553,5
train_1554,0
train_1555,11
train_1556,5
train_1557,5
train_1558,0
train_1559,0
train_1560,5
train_1561,5
train_1562,10
train_1563,0
train_1564,0
train_1565,11
train_1566,0
train_1567,5
train_1568,5
train_1569,5
train_1570,5
train_1571,10
train_1572,5
train_1573,11
train_1574,5
train_1575,5
train_1576,5
train_1577,5
train_1578,6
train_1579,5
train_1580,6
train_1581,0
train_1582,5
train_1583,5
train_1584,11
train_1585,10
train_1586,5
train_1587,0
train_1588,5
train_1589,3
train_1590,5
train_1591,0
train_1592,8
train_1593,5
train_1594,0
train_1595,5
train_1596,10
train_1597,0
train_1598,6
train_1599,0
train_1600,0
train_1601,11
train_1602,5
train_1603,11
train_1604,10
train_1605,0
train_1606,11
train_1607,11
train_1608,5
train_1609,11
train_1610,0
train_1611,5
train_1612,5
train_1613,11
train_1614,11
train_1615,5
train_1616,5
train_1617,5
train_1618,11
train_1619,11
train_1620,11
train_1621,5
train_1622,5
train_1623,2
train_1624,0
train_1625,11
train_1626,0
train_1627,5
train_1628,0
train_1629,5
train_1630,11
train_1631,0
train_1632,11
train_1633,5
train_1634,0
train_1635,0
train_1636,0
train_1637,5
train_1638,5
train_1639,10
train_1640,5
train_1641,0
train_1642,10
train_1643,5
train_1644,5
train_1645,0
train_1646,0
train_1647,5
train_1648,11
train_1649,0
train_1650,0
train_1651,11
train_1652,5
train_1653,5
train_1654,5
train_1655,5
train_1656,0
train_1657,5
train_1658,5
train_1659,5
train_1660,0
train_1661,5
train_1662,6
train_1663,6
train_1664,0
train_1665,11
train_1666,0
train_1667,11
train_1668,5
train_1669,3
train_1670,6
train_1671,0
train_1672,5
train_1673,5
train_1674,5
train_1675,5
train_1676,0
train_1677,11
train_1678,5
train_1679,0
train_1680,10
train_1681,5
train_1682,5
train_1683,0
train_1684,5
train_1685,5
train_1686,5
train_1687,0
train_1688,5
train_1689,1
train_1690,5
train_1691,0
train_1692,11
train_1693,5
train_1694,0
train_1695,5
train_1696,5
train_1697,11
train_1698,6
train_1699,5
train_1700,11
train_1701,5
train_1702,0
train_1703,10
train_1704,6
train_1705,5
train_1706,5
train_1707,6
train_1708,0
train_1709,11
train_1710,5
train_1711,6
train_1712,0
train_1713,5
train_1714,5
train_1715,5
train_1716,5
train_1717,6
train_1718,0
train_1719,5
train_1720,5
train_1721,5
train_1722,6
train_1723,5
train_1724,0
train_1725,0
train_1726,0
train_1727,0
train_1728,0
train_1729,10
train_1730,11
train_1731,5
train_1732,11
train_1733,3
train_1734,5
train_1735,0
train_1736,0
train_1737,0
train_1738,6
train_1739,10
train_1740,0
train_1741,5
train_1742,5
train_1743,0
train_1744,5
train_1745,5
train_1746,5
train_1747,0
train_1748,10
train_1749,0
train_1750,5
train_1751,11
train_1752,0
train_1753,5
train_1754,5
train_1755,0
train_1756,6
train_1757,10
train_1758,10
train_1759,5
train_1760,5
train_1761,5
train_1762,0
train_1763,5
train_1764,0
train_1765,11
train_1766,5
train_1767,0
train_1768,0
train_1769,5
train_1770,5
train_1771,0
train_1772,11
train_1773,5
train_1774,5
train_1775,5
train_1776,6
train_1777,6
train_1778,5
train_1779,5
train_1780,5
train_1781,0
train_1782,6
train_1783,0
train_1784,5
train_1785,0
train_1786,6
train_1787,0
train_1788,5
train_1789,0
train_1790,0
train_1791,5
train_1792,5
train_1793,6
train_1794,0
train_1795,11
train_1796,5
train_1797,5
train_1798,10
train_1799,5
train_1800,5
train_1801,0
train_1802,5
train_1803,5
train_1804,0
train_1805,5
train_1806,5
train_1807,3
train_1808,5
train_1809,0
train_1810,5
train_1811,5
train_1812,5
train_1813,0
train_1814,11
train_1815,0
train_1816,0
train_1817,5
train_1818,0
train_1819,0
train_1820,11
train_1821,10
train_1822,0
train_1823,0
train_1824,11
train_1825,5
train_1826,0
train_1827,11
train_1828,11
train_1829,0
train_1830,5
train_1831,5
train_1832,5
train_1833,5
train_1834,0
train_1835,5
train_1836,6
train_1837,5
train_1838,11
train_1839,5
train_1840,0
train_1841,5
train_1842,5
train_1843,0
train_1844,11
train_1845,5
train_1846,8
train_1847,1
train_1848,0
train_1849,6
train_1850,11
train_1851,5
train_1852,5
train_1853,11
train_1854,10
train_1855,5
train_1856,6
train_1857,11
train_1858,5
train_1859,0
train_1860,0
train_1861,5
train_1862,0
train_1863,11
train_1864,5
train_1865,0
train_1866,5
train_1867,0
train_1868,5
train_1869,11
train_1870,5
train_1871,5
train_1872,10
train_1873,11
train_1874,0
train_1875,11
train_1876,6
train_1877,5
train_1878,0
train_1879,8
train_1880,10
train_1881,0
train_1882,5
train_1883,5
train_1884,1
train_1885,0
train_1886,5
train_1887,5
train_1888,5
train_1889,0
train_1890,5
train_1891,5
train_1892,0
train_1893,11
train_1894,0
train_1895,5
train_1896,0
train_1897,5
train_1898,5
train_1899,5
train_1900,5
train_1901,0
train_1902,5
train_1903,11
train_1904,5
train_1905,10
train_1906,5
train_1907,5
train_1908,5
train_1909,0
train_1910,2
train_1911,5
train_1912,2
train_1913,5
train_1914,11
train_1915,5
train_1916,6
train_1917,1
train_1918,0
train_1919,5
train_1920,5
train_1921,6
train_1922,11
train_1923,5
train_1924,0
train_1925,5
train_1926,0
train_1927,5
train_1928,11
train_1929,0
train_1930,0
train_1931,5
train_1932,5
train_1933,6
train_1934,5
train_1935,0
train_1936,5
train_1937,5
train_1938,6
train_1939,0
train_1940,5
train_1941,0
train_1942,11
train_1943,5
train_1944,5
train_1945,5
train_1946,5
train_1947,5
train_1948,3
train_1949,5
train_1950,0
train_1951,0
train_1952,11
train_1953,5
train_1954,11
train_1955,0
train_1956,5
train_1957,5
train_1958,5
train_1959,5
train_1960,5
train_1961,5
train_1962,0
train_1963,11
train_1964,2
train_1965,5
train_1966,0
train_1967,11
train_1968,6
train_1969,6
train_1970,11
train_1971,0
train_1972,11
train_1973,5
train_1974,5
train_1975,0
train_1976,5
train_1977,5
train_1978,5
train_1979,5
train_1980,5
train_1981,5
train_1982,0
train_1983,5
train_1984,5
train_1985,5
train_1986,5
train_1987,0
train_1988,0
train_1989,11
train_1990,0
train_1991,10
train_1992,5
train_1993,5
train_1994,5
train_1995,9
train_1996,6
train_1997,5
train_1998,5
train_1999,5
train_2000,10
train_2001,0
train_2002,10
train_2003,0
train_2004,5
train_2005,0
train_2006,6
train_2007,0
train_2008,2
train_2009,5
train_2010,5
train_2011,5
train_2012,2
train_2013,5
train_2014,5
train_2015,10
train_2016,5
train_2017,0
train_2018,5
train_2019,0
train_2020,5
train_2021,6
train_2022,5
train_2023,10
train_2024,5
train_2025,5
train_2026,3
train_2027,0
train_2028,0
train_2029,5
train_2030,10
train_2031,0
train_2032,5
train_2033,0
train_2034,11
train_2035,11
train_2036,5
train_2037,2
train_2038,5
train_2039,11
train_2040,5
train_2041,0
train_2042,5
train_2043,0
train_2044,0
train_2045,5
train_2046,5
train_2047,0
train_2048,11
train_2049,0
train_2050,0
train_2051,0
train_2052,0
train_2053,5
train_2054,0
train_2055,5
train_2056,0
train_2057,10
train_2058,6
train_2059,0
train_2060,0
train_2061,5
train_2062,5
train_2063,5
train_2064,0
train_2065,5
train_2066,5
train_2067,0
train_2068,5
train_2069,5
train_2070,5
train_2071,0
train_2072,0
train_2073,0
train_2074,0
train_2075,11
train_2076,2
train_2077,0
train_2078,5
train_2079,0
train_2080,0
train_2081,10
train_2082,5
train_2083,0
train_2084,0
train_2085,5
train_2086,11
train_2087,0
train_2088,11
train_2089,5
train_2090,0
train_2091,0
train_2092,5
train_2093,5
train_2094,0
train_2095,5
train_2096,0
train_2097,11
train_2098,10
train_2099,5
train_2100,6
train_2101,10
train_2102,5
train_2103,0
train_2104,11
train_2105,5
train_2106,0
train_2107,11
train_2108,5
train_2109,11
train_2110,11
train_2111,5
train_2112,0
train_2113,0
train_2114,3
train_2115,0
train_2116,0
train_2117,11
train_2118,6
train_2119,11
train_2120,11
train_2121,0
train_2122,0
train_2123,5
train_2124,0
train_2125,5
train_2126,10
train_2127,5
train_2128,5
train_2129,5
train_2130,0
train_2131,5
train_2132,5
train_2133,5
train_2134,0
train_2135,0
train_2136,10
train_2137,5
train_2138,5
train_2139,11
